company,role,skills,cgpa_minimum
CloudSphere Dynamics,Systems Administrator,"Virtualization (VMware, Hyper-V), Security Patching, Active Directory, Linux (Red Hat, Ubuntu), Bash Scripting, Ansible, PowerShell",6.2
BharatPe,QA Engineer,"Test Planning, Playwright, SQL, Selenium, Automation Testing",7.6
Flipkart,Mobile App Developer,"React Native, RxSwift, UI/UX Principles, REST APIs, Android SDK, Firebase, Kotlin, iOS SDK",6.9
Freshworks,DevOps Engineer,"Azure, Linux, GitLab CI, Jenkins, CI/CD, AWS",8.3
Zephyr Innovations,Full-Stack Developer,"Node.js, Azure, Python, REST APIs, NoSQL, Flask, Java, Express.js, SQL",7.4
Stellar Solutions,Data Analyst,"Google Analytics, Data Cleaning, JIRA, Data Warehousing, SAS",6.7
Vortex IO,Mobile App Developer,"React Native, Android SDK, RxJava, REST APIs, RxSwift, Java, Xamarin, Swift, Kotlin",7.0
Persistent Systems,Frontend Developer,"LESS, Babel, Web Performance, Vuex, ES6+, Vue.js, JavaScript, Yarn, SASS",8.4
Pinnacle Innovations,Game Developer,"DirectX, Vulkan, Game Physics, Network Programming, OpenGL, 3D Graphics, C#",6.1
Zenith Labs,Embedded Systems Engineer,"Verilog, Linux Kernel, VHDL, C, Circuit Design, Device Drivers, Python, I2C, SPI, Assembly Language",8.3
Unacademy,Data Scientist,"Data Warehousing, Python, Data Visualization, Power BI, A/B Testing",9.0
Vedantu,Software Engineer,"Rust, Integration Testing, Git, Linux/Unix, Kubernetes, Unit Testing, Agile, Object-Oriented Programming (OOP)",8.2
Udaan,Frontend Developer,"Yarn, TypeScript, Webpack, Jest, Web Performance, JavaScript, Redux, Gatsby, Vuex",8.5
Udaan,QA Engineer,"Postman, Cypress, Bug Tracking, Performance Testing, Selenium, API Testing",6.2
PhonePe,Systems Administrator,"Backup Solutions, PowerShell, Linux (Red Hat, Ubuntu), Bash Scripting, Networking (TCP/IP, DNS, DHCP)",8.2
Meteor Innovations,Full-Stack Developer,"Flask, Git, Docker, Django, REST APIs, React",7.2
Tech Mahindra,Cloud Engineer,"Go, Serverless, Docker, Azure Functions, Identity and Access Management (IAM), Cost Optimization",8.3
Kinetic Flow,Systems Administrator,"Active Directory, System Monitoring, Virtualization (VMware, Hyper-V), Security Patching, PowerShell, Backup Solutions",6.5
Wipro,Mobile App Developer,"Android SDK, Java, UI/UX Principles, Objective-C, RxJava",6.2
X-Factor Solutions,Business Analyst,"Business Case Development, JIRA, MS Visio, UML, Stakeholder Management, Scrum, Financial Modeling",6.1
Ola Cabs,Cloud Engineer,"Python, Cost Optimization, AWS Lambda, AWS, CloudFormation, Azure, Serverless, Docker, Identity and Access Management (IAM), Cloud Security",6.8
Mphasis,UI/UX Designer,"User Research, Agile, Usability Testing, HTML/CSS fundamentals, Design Systems",7.5
Postman,Backend Developer,"Kubernetes, PHP, MongoDB, SQL, Microservices, GraphQL, Java, Ruby on Rails",8.6
Helios Systems,Mobile App Developer,"REST APIs, Android Studio, RxSwift, RxJava, Xamarin, Xcode, Realm, Firebase, Java",6.2
Juno Solutions,Systems Administrator,"Bash Scripting, Linux (Red Hat, Ubuntu), System Monitoring, Windows Server, Networking (TCP/IP, DNS, DHCP)",7.1
GhostWorks,Mobile App Developer,"UI/UX Principles, REST APIs, RxJava, Android Studio, iOS SDK, Core Data, RxSwift, Swift, React Native, Dart",8.7
Meteor Innovations,Product Manager,"A/B Testing, Scrum, Product Lifecycle Management, Data Analysis, SQL, Market Research, Kanban, Agile, JIRA",8.9
Nebula Corporation,Cloud Engineer,"Terraform, Azure Functions, GCP, Kubernetes, AWS Lambda, Go, Identity and Access Management (IAM), Cost Optimization, AWS",8.0
Razorpay,Network Engineer,"Cisco, DNS, VPN, Network Security, Ansible, Python, Routing (BGP, OSPF), TCP/IP, Network Monitoring (SNMP), Switching",8.7
TerraForm Inc.,Full-Stack Developer,"Azure, TypeScript, Flask, System Design, PostgreSQL, React, MongoDB, JavaScript, Django",6.2
Mphasis,Product Manager,"Roadmap Planning, SQL, A/B Testing, Kanban, JIRA, User Stories, Market Research, Product Lifecycle Management, Confluence, Data Analysis",7.3
CyberGuard Security,Database Administrator (DBA),"PostgreSQL, Oracle DB, Cassandra, Database Design, Backup and Recovery, Shell Scripting, MongoDB, Python",6.6
NextGen AI Labs,Game Developer,"Unreal Engine, Game Physics, OpenGL, Maya, Shader Programming, Unity",7.9
DataGenius AI,Database Administrator (DBA),"MySQL, Microsoft SQL Server, SQL, NoSQL, Python, Oracle DB, Backup and Recovery, MongoDB",7.2
Nebula Corporation,Game Developer,"Shader Programming, Blender, Network Programming, OpenGL, DirectX, AI for Games, Unreal Engine",8.8
Wipro,DevOps Engineer,"Ansible, Security, Kubernetes, Grafana, Python Scripting, Bash Scripting, Azure, Linux, Jenkins, Networking",6.3
Ola Cabs,QA Engineer,"JIRA, LoadRunner, Appium, Playwright, Manual Testing, Automation Testing, Selenium, Test Cases, Test Planning, Performance Testing",6.4
Northstar AI,Full-Stack Developer,"Python, SQL, Git, Angular, Django",6.9
Zenith Labs,Cloud Engineer,"Terraform, Cost Optimization, Azure Functions, Azure, Docker, Networking (VPC, Subnets), Cloud Security, CloudFormation, AWS",7.8
Freshworks,DevOps Engineer,"Grafana, Prometheus, Puppet, Networking, Python Scripting, Security, Azure, Google Cloud Platform (GCP)",6.8
Quasar Data,Mobile App Developer,"Objective-C, REST APIs, Android SDK, RxJava, Realm, Firebase, Xcode, UI/UX Principles, Swift",7.7
Aperture Science,DevOps Engineer,"Jenkins, Bash Scripting, GitLab CI, AWS, Google Cloud Platform (GCP), Grafana",6.7
QuantumMetric,Machine Learning Engineer,"NumPy, TensorFlow, PyTorch, Azure ML, Keras, NLP, Java, MLOps, Reinforcement Learning",6.9
Zomato,Product Manager,"Go-to-Market Strategy, Roadmap Planning, Stakeholder Communication, Product Lifecycle Management, Scrum",6.9
Wipro,Database Administrator (DBA),"Shell Scripting, MongoDB, Database Design, SQL, NoSQL",8.2
Paytm,Backend Developer,"MySQL, C#, Redis, Ruby, Kafka",6.9
Razorpay,Database Administrator (DBA),"Performance Tuning, Shell Scripting, Oracle DB, NoSQL, SQL, Database Design, Cassandra, Microsoft SQL Server, PostgreSQL",6.4
Nykaa,Database Administrator (DBA),"Backup and Recovery, Python, Performance Tuning, Cassandra, Database Design",6.6
Infinite Loop Development,Data Scientist,"Data Warehousing, SQL, Pandas, ETL, R, Hive, Python, Airflow",7.9
Larsen & Toubro Infotech (LTI),Game Developer,"Unreal Engine, Unity, C#, Shader Programming, OpenGL, Vulkan, Game Physics, DirectX",7.9
TerraForm Inc.,Cybersecurity Analyst,"Scripting, Security Compliance (ISO 27001, NIST), Network Security, Metasploit, SIEM, Python, Firewalls, Penetration Testing",6.5
Vedantu,Software Engineer,"C#, Unit Testing, Python, Data Structures, Git",7.7
Stellar Solutions,Embedded Systems Engineer,"SPI, Python, Microcontrollers (ARM, AVR), Verilog, C, Linux Kernel, C++",7.2
Momentum Dynamics,Cybersecurity Analyst,"Cryptography, Incident Response, Security Compliance (ISO 27001, NIST), Metasploit, Wireshark, Intrusion Detection Systems (IDS), Nmap",8.8
QuantumLeap Analytics,Frontend Developer,"Gatsby, SASS, Jest, Next.js, Redux, Web Performance, GraphQL",8.3
Postman,DevOps Engineer,"Prometheus, Kubernetes, AWS, Terraform, Puppet, Networking, Grafana, GitLab CI, Docker",7.3
Helios Systems,Cybersecurity Analyst,"Network Security, Scripting, Metasploit, Splunk, Cryptography, Security Compliance (ISO 27001, NIST), Intrusion Detection Systems (IDS)",8.7
Wavefront Labs,Game Developer,"Maya, AI for Games, Shader Programming, C#, Game Physics",8.2
CloudSphere Dynamics,Machine Learning Engineer,"Kubernetes, PyTorch, GCP AI Platform, Java, Algorithms, Scikit-learn, Data Structures",6.1
PulsePoint,Machine Learning Engineer,"NLP, Data Structures, PyTorch, NumPy, Caffe",6.8
Nebula Corporation,Embedded Systems Engineer,"VHDL, Python, Microcontrollers (ARM, AVR), Assembly Language, Circuit Design, Linux Kernel, C++",7.0
BlueSun Corporation,Cloud Engineer,"Networking (VPC, Subnets), Cost Optimization, Serverless, GCP, AWS Lambda, Go",8.7
Helios Systems,Cybersecurity Analyst,"Cryptography, Incident Response, Firewalls, Intrusion Detection Systems (IDS), Security Compliance (ISO 27001, NIST), Splunk, Nmap, Scripting, Wireshark, Network Security",8.0
Jade Mountain,Software Engineer,"System Design, Data Structures, Java, Rust, Scala",7.0
Freshworks,Network Engineer,"DNS, Network Security, Network Monitoring (SNMP), Load Balancers, TCP/IP, Switching, Juniper, Firewalls, Ansible, Routing (BGP, OSPF)",6.8
Nykaa,Backend Developer,"SQL, Python, NoSQL, Java, C#",8.0
EchoSphere,Data Analyst,"Excel, Statistics, SAS, R, Pandas, JIRA, A/B Testing",6.6
CodeCrafters Inc.,Data Scientist,"Deep Learning, Scikit-learn, PyTorch, Data Visualization, R, Python",7.2
Lionheart Labs,Product Manager,"SQL, Market Research, Scrum, Data Analysis, JIRA, Product Lifecycle Management, Agile",9.0
Xenon Dynamics,DevOps Engineer,"Security, AWS, Google Cloud Platform (GCP), Networking, Chef, Grafana, Python Scripting, CI/CD",7.8
Upstox,Cloud Engineer,"Python, Docker, Kubernetes, GCP, Azure Functions, CloudFormation",6.5
Zomato,UI/UX Designer,"InVision, Prototyping, User Research, HTML/CSS fundamentals, Adobe XD, Design Systems, Wireframing, User Journey Mapping, A/B Testing",6.4
Meesho,Game Developer,"AI for Games, Vulkan, Unity, OpenGL, C#",7.5
SilverLining Cloud,Cybersecurity Analyst,"Incident Response, Python, Cryptography, Network Security, Penetration Testing",9.0
CyberGuard Security,DevOps Engineer,"Bash Scripting, Jenkins, CI/CD, Prometheus, Grafana, Azure",7.4
Titan Industries,Machine Learning Engineer,"Keras, MLOps, NLP, C++, Data Structures, Python, Reinforcement Learning, Java, Docker",7.9
TerraForm Inc.,Frontend Developer,"Gatsby, Responsive Design, Jest, Vuex, ES6+, LESS, GraphQL, Babel",7.9
Titan Industries,Embedded Systems Engineer,"Linux Kernel, Python, I2C, C, Assembly Language",7.6
Infosys,Frontend Developer,"NPM, TypeScript, SASS, LESS, Babel",6.9
Infinite Loop Development,Embedded Systems Engineer,"Verilog, C, Assembly Language, UART, SPI, Microcontrollers (ARM, AVR), Firmware, Linux Kernel, Python, RTOS",6.0
Umbra Technologies,Database Administrator (DBA),"Database Design, SQL, PostgreSQL, Oracle DB, NoSQL",6.9
EchoSphere,Business Analyst,"ExTableau, SWOT Analysis, Stakeholder Management, Requirements Gathering, UML, Business Case Development, Financial Modeling",8.2
Hexaware Technologies,Cybersecurity Analyst,"Network Security, Intrusion Detection Systems (IDS), Metasploit, SIEM, Security Compliance (ISO 27001, NIST)",9.0
